Alimentador;Id Arco;Id No Origem;Id No Destino;Distancia (km);P;Q;Tensao Barra; R ;X;Estado;Zr;Zi;Ir;Ii;Yr;Yi;Tipo;Limite Sup Arco Real;Limite inf Arco Real;Limite Sup Arco Imagin;Limite inf Arco Imagi
A;0;0;1;1;0;0;0;0,001;0,001;NF;;;;;;;G;40;0;0;-25
A;1;1;2;1;2,5;1,6;0;0,075;0,1;NF;;;;;;;C;;;;
A;2;1;6;1;3,3;2,7;0;0,11;0,11;NF;;;;;;;C;;;;
A;3;1;11;1;1,3;0,9;0;0,11;0,11;NF;;;;;;;C;;;;
A;4;2;3;1;3,3;1,5;0;0,08;0,11;NF;;;;;;;C;;;;
A;5;2;4;1;1,6;0,8;0;0,09;0,18;NF;;;;;;;C;;;;
A;6;4;5;1;2;1,2;0;0,04;0,04;NF;;;;;;;C;;;;
A;7;6;7;1;5,7;3;0;0,08;0,11;NF;;;;;;;C;;;;
A;8;6;8;1;1,3;0,9;0;0,11;0,11;NF;;;;;;;C;;;;
A;9;7;9;1;0,7;0,1;0;0,11;0,11;NF;;;;;;;C;;;;
A;10;7;10;1;4,8;2;0;0,08;0,11;NF;;;;;;;C;;;;
A;11;11;12;1;0,8;0,7;0;0,09;0,12;NF;;;;;;;C;;;;
A;12;11;13;1;0,9;0,9;0;0,08;0,11;NF;;;;;;;C;;;;
A;13;13;14;1;2,2;1;0;0,04;0,04;NF;;;;;;;C;;;;
A;14;3;9;1;0;0;0;0,04;0,04;NA;;;;;;;C;;;;
A;15;5;14;1;0;0;0;0,04;0,04;NA;;;;;;;C;;;;
A;16;8;12;1;0;0;0;0,09;0,12;NA;;;;;;;C;;;;
